DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
1 , 20 , 113 , 130 , 124 , 152 , 163 , 206 , 260 , " (201.791,201.791) [8700,46400] " , " (725.443,725.443) [43500,75400] " , " (0,0) [0,1] " , " (0.0714286,0.0714286) [1,2] " , " (4.58333,4.58333) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (15.986,15.986) [638,1044] " , " (2,2) [1,2] " , " (2123.57,2123.57) [2000,2350] " , " (26.9175,26.9175) [15,30] " , " (3.29167,3.29167) [2,4] " , " (3,3) [2,3] " , " (226.018,226.018) [50,455] " , " (2566.85,2566.85) [1000,4000] " , " (4,4) [1,3] " , " (6.08571,6.08571) [0,7] " , " (4,4) [1,2] " , " (1.76667,1.76667) [1,2] " , " (6.69,6.69) [8,9] " , " (2.33333,2.33333) [3,4] " , " (1.5,1.5) [1,2] " , " (1.33333,1.33333) [1,2] "
2 , 66 , 96 , 129 , 134 , 185 , 151 , 192 , 272 , " (221.193,221.193) [8700,46400] " , " (697.4,697.4) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (2.7,2.7) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.27,12.27) [638,1044] " , " (0,0) [1,2] " , " (2168.53,2168.53) [2000,2350] " , " (32.5007,32.5007) [15,30] " , " (2.76,2.76) [2,4] " , " (2,2) [2,3] " , " (258.875,258.875) [50,455] " , " (2298.11,2298.11) [1000,4000] " , " (2.47,2.47) [1,3] " , " (1.54,1.54) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (10.4,10.4) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.16,2.16) [1,2] " , " (1,1) [1,2] "
3 , 20 , 84 , 127 , 132 , 175 , 160 , 227 , 246 , " (152.002,152.002) [8700,46400] " , " (841.427,841.427) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (14.32,14.32) [638,1044] " , " (1,1) [1,2] " , " (2251.05,2251.05) [2000,2350] " , " (29.9962,29.9962) [15,30] " , " (2.25,2.25) [2,4] " , " (3,3) [2,3] " , " (137.458,137.458) [50,455] " , " (3206.33,3206.33) [1000,4000] " , " (4.78333,4.78333) [1,3] " , " (1.6,1.6) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2,2) [3,4] " , " (1.78571,1.78571) [1,2] " , " (3.5,3.5) [1,2] "
4 , 11 , 107 , 118 , 128 , 151 , 185 , 235 , 284 , " (163.215,163.215) [8700,46400] " , " (659.8,659.8) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (3.2,3.2) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.5667,10.5667) [638,1044] " , " (0,0) [1,2] " , " (1996,1996) [2000,2350] " , " (30.8745,30.8745) [15,30] " , " (3.1,3.1) [2,4] " , " (2.33333,2.33333) [2,3] " , " (440.725,440.725) [50,455] " , " (2753.38,2753.38) [1000,4000] " , " (2.60333,2.60333) [1,3] " , " (1.34,1.34) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (9.5,9.5) [8,9] " , " (2.33333,2.33333) [3,4] " , " (2.03571,2.03571) [1,2] " , " (0,0) [1,2] "
5 , 57 , 99 , 134 , 117 , 156 , 149 , 192 , 260 , " (341.027,341.027) [8700,46400] " , " (605.443,605.443) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (13.9119,13.9119) [638,1044] " , " (1.6,1.6) [1,2] " , " (2186.59,2186.59) [2000,2350] " , " (35.6224,35.6224) [15,30] " , " (2.78571,2.78571) [2,4] " , " (2.66667,2.66667) [2,3] " , " (302.343,302.343) [50,455] " , " (2080.98,2080.98) [1000,4000] " , " (4.61667,4.61667) [1,3] " , " (2.24,2.24) [0,7] " , " (2,2) [1,2] " , " (1,1) [1,2] " , " (10,10) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2,2) [1,2] " , " (3.71429,3.71429) [1,2] "
6 , 20 , 84 , 132 , 124 , 160 , 175 , 227 , 246 , " (164.902,164.902) [8700,46400] " , " (841.427,841.427) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (14.32,14.32) [638,1044] " , " (1,1) [1,2] " , " (2234.65,2234.65) [2000,2350] " , " (29.2462,29.2462) [15,30] " , " (2.25,2.25) [2,4] " , " (3,3) [2,3] " , " (137.458,137.458) [50,455] " , " (3187.25,3187.25) [1000,4000] " , " (4.28333,4.28333) [1,3] " , " (1.6,1.6) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2,2) [3,4] " , " (1.78571,1.78571) [1,2] " , " (3.5,3.5) [1,2] "
7 , 11 , 107 , 130 , 126 , 137 , 151 , 234 , 275 , " (228.422,228.422) [8700,46400] " , " (660.167,660.167) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.91667,4.91667) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.9733,10.9733) [638,1044] " , " (0.333333,0.333333) [1,2] " , " (2098.38,2098.38) [2000,2350] " , " (37.7904,37.7904) [15,30] " , " (2.85294,2.85294) [2,4] " , " (2.33333,2.33333) [2,3] " , " (452.758,452.758) [50,455] " , " (2663.81,2663.81) [1000,4000] " , " (2.88667,2.88667) [1,3] " , " (6.2,6.2) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (8.7,8.7) [8,9] " , " (1.66667,1.66667) [3,4] " , " (2.75,2.75) [1,2] " , " (0,0) [1,2] "
8 , 57 , 99 , 133 , 117 , 156 , 149 , 192 , 260 , " (331.677,331.677) [8700,46400] " , " (605.443,605.443) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (13.9119,13.9119) [638,1044] " , " (1.6,1.6) [1,2] " , " (2183.69,2183.69) [2000,2350] " , " (35.4524,35.4524) [15,30] " , " (2.78571,2.78571) [2,4] " , " (2.66667,2.66667) [2,3] " , " (302.343,302.343) [50,455] " , " (2313.38,2313.38) [1000,4000] " , " (4.51667,4.51667) [1,3] " , " (2.24,2.24) [0,7] " , " (2,2) [1,2] " , " (1,1) [1,2] " , " (10,10) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2,2) [1,2] " , " (3.71429,3.71429) [1,2] "
9 , 66 , 96 , 125 , 129 , 151 , 185 , 235 , 272 , " (218.823,218.823) [8700,46400] " , " (697.4,697.4) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (2.7,2.7) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.27,12.27) [638,1044] " , " (0,0) [1,2] " , " (2166.73,2166.73) [2000,2350] " , " (32.3607,32.3607) [15,30] " , " (2.76,2.76) [2,4] " , " (2,2) [2,3] " , " (258.875,258.875) [50,455] " , " (2298.25,2298.25) [1000,4000] " , " (2.37,2.37) [1,3] " , " (1.54,1.54) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (10.4,10.4) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.16,2.16) [1,2] " , " (1,1) [1,2] "
10 , 20 , 84 , 132 , 134 , 160 , 181 , 227 , 246 , " (164.222,164.222) [8700,46400] " , " (969.827,969.827) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.4867,12.4867) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2260.8,2260.8) [2000,2350] " , " (27.7812,27.7812) [15,30] " , " (1.25,1.25) [2,4] " , " (3,3) [2,3] " , " (190.208,190.208) [50,455] " , " (2801.81,2801.81) [1000,4000] " , " (4.35,4.35) [1,3] " , " (3.9,3.9) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2.33333,2.33333) [3,4] " , " (1.78571,1.78571) [1,2] " , " (3.5,3.5) [1,2] "
11 , 11 , 107 , 130 , 126 , 137 , 151 , 234 , 275 , " (228.422,228.422) [8700,46400] " , " (660.167,660.167) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.91667,4.91667) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.9733,10.9733) [638,1044] " , " (0.333333,0.333333) [1,2] " , " (2098.38,2098.38) [2000,2350] " , " (37.7904,37.7904) [15,30] " , " (2.85294,2.85294) [2,4] " , " (2.33333,2.33333) [2,3] " , " (452.758,452.758) [50,455] " , " (2663.81,2663.81) [1000,4000] " , " (2.88667,2.88667) [1,3] " , " (6.2,6.2) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (8.7,8.7) [8,9] " , " (1.66667,1.66667) [3,4] " , " (2.75,2.75) [1,2] " , " (0,0) [1,2] "
12 , 57 , 99 , 118 , 117 , 156 , 149 , 192 , 260 , " (336.937,336.937) [8700,46400] " , " (604.543,604.543) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (14.3119,14.3119) [638,1044] " , " (1.6,1.6) [1,2] " , " (2184.89,2184.89) [2000,2350] " , " (35.9024,35.9024) [15,30] " , " (2.78571,2.78571) [2,4] " , " (2.66667,2.66667) [2,3] " , " (302.343,302.343) [50,455] " , " (2314.18,2314.18) [1000,4000] " , " (4.41667,4.41667) [1,3] " , " (2.24,2.24) [0,7] " , " (2,2) [1,2] " , " (1,1) [1,2] " , " (10,10) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2,2) [1,2] " , " (3.71429,3.71429) [1,2] "
13 , 66 , 113 , 121 , 124 , 185 , 151 , 235 , 285 , " (165.24,165.24) [8700,46400] " , " (705.3,705.3) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.9027,11.9027) [638,1044] " , " (0,0) [1,2] " , " (2184.83,2184.83) [2000,2350] " , " (34.36,34.36) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (273.185,273.185) [50,455] " , " (3198.2,3198.2) [1000,4000] " , " (3.03667,3.03667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.19,9.19) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (1.33333,1.33333) [1,2] "
