X,mean,BNP,RMDDC,HGSADC,RTS,CDRW,GENELIT,BNPF,RMDDCF,HGSADCF,RTSF,CDRWF,GENELITF
0,0,40,40,40,40,40,40,100,100,100,100,100,100
1,,22.332593,22.431852,8.508889,22.759259,4.34,5.05037,40.703002,40.671772,40.334241,40.441741,40.405979,40.279804
2,15,21.772593,22.306667,5.655556,21.277037,0.985926,1.321481,40.511498,40.566017,40.214981,40.280657,40.294566,40.251926
3,,21.745185,22.214815,4.994815,19.438519,0.728889,0.348148,40.384477,40.439905,40.135551,40.242193,40.268556,40.256254
4,30,20.616296,21.825185,4.362222,18.499259,0.551111,0.037037,40.31149,40.401273,40.132841,40.208922,40.266782,40.261966
5,,19.777037,21.498519,4.121481,17.672593,0.534815,0.12963,40.285486,40.368052,40.132841,40.184003,40.264261,40.256701
6,45,18.141481,20.818519,3.98963,16.808889,0.522222,0.081481,40.268722,40.359831,40.123785,40.184003,40.264261,40.250446
7,,16.720741,19.464444,3.971852,16.031852,0.53037,0.163704,40.226981,40.318048,40.123385,40.17177,40.264261,40.240237
8,60,15.145185,18.977778,3.835556,15.068148,0.534074,0.132593,40.199949,40.267223,40.11473,40.17177,40.264261,40.243413
9,,13.943704,18.045926,3.777037,14.708148,0.545926,0.037778,40.157618,40.245407,40.107992,40.171483,40.264261,40.24634
10,75,12.619259,16.980741,3.694815,14.49037,0.536296,0,40.119618,40.207598,40.11473,40.159538,40.264261,40.249368
11,,11.322222,15.648148,3.66,14.092593,0.515556,0,40.095338,40.155985,40.105675,40.159538,40.264261,40.249368
12,90,10.481481,14.237778,3.591111,13.554074,0.571852,0,40.078872,40.119779,40.105675,40.159538,40.263183,40.249368
13,,9.742963,13.031852,3.491111,13.183704,0.528148,0,40.057766,40.076904,40.105675,40.159538,40.260009,40.249368
14,105,8.639259,11.981481,3.482222,12.985185,0.508148,0,40.054585,40.081408,40.105675,40.151429,40.260009,40.249368
15,,8.47037,11.380741,3.462222,12.682963,0.52,0,40.061222,40.059016,40.105675,40.151429,40.260009,40.249368
16,120,7.662222,10.507407,3.411852,12.360741,0.519259,0,40.059417,40.07331,40.105675,40.151429,40.260009,40.249368
17,,6.722222,9.660741,3.345185,12.112593,0.516296,0,40.059417,40.05082,40.095553,40.151429,40.260009,40.249368
18,135,5.74963,8.959259,3.305185,11.81037,0.531852,0,40.059417,40.055545,40.09662,40.151429,40.260009,40.249368
19,,4.758519,8.466667,3.200741,11.704444,0.507407,0,40.059417,40.053105,40.086898,40.151429,40.260009,40.249368
20,150,3.862222,7.982222,3.140741,11.368148,0.511111,0.074815,40.059417,40.053236,40.086898,40.151429,40.260009,40.248976
