DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
1 , 57 , 99 , 118 , 117 , 156 , 149 , 192 , 260 , " (335.025,231.507) [3000,16000] " , " (890.9,755.943) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.5,3.3) [3,4] " , " (0,0) [0,1] " , " (1.4,1.4) [1,2] " , " (11.9833,12.0619) [220,360] " , " (1.6,1.6) [1,2] " , " (2175.03,2123.92) [2000,2350] " , " (27.5657,24.2615) [15,30] " , " (3.61905,3.11905) [2,4] " , " (2.66667,2.66667) [2,3] " , " (282.3,318.243) [50,455] " , " (2029.22,2065.25) [1000,4000] " , " (2.56667,2.30833) [1,3] " , " (2.8,2.84) [0,7] " , " (1,1.5) [1,2] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (2,1.71429) [1,2] "
2 , 11 , 112 , 129 , 125 , 147 , 143 , 193 , 260 , " (123.013,110.3) [3000,16000] " , " (910.51,858.3) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.16667) [3,4] " , " (0,0) [0,1] " , " (2,1.95) [1,2] " , " (11.66,10.26) [220,360] " , " (1.6,1.6) [1,2] " , " (2112.23,2209.45) [2000,2350] " , " (22.3183,29.5783) [15,30] " , " (2.28333,2.5) [2,4] " , " (2,2) [2,3] " , " (430.117,418.925) [50,455] " , " (3831.35,2939.87) [1000,4000] " , " (2.55,2.37667) [1,3] " , " (4.78333,4.33333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.5,9) [8,9] " , " (3.33333,3.16667) [3,4] " , " (1.25,1.75) [1,2] " , " (2,2) [1,2] "
3 , 66 , 96 , 134 , 122 , 151 , 137 , 192 , 272 , " (187.297,196.866) [3000,16000] " , " (703.9,688.2) [15000,26000] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.5,3.75) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (10.97,9.80333) [220,360] " , " (1.6,1.6) [1,2] " , " (2161.26,2185.81) [2000,2350] " , " (27.0673,27.2194) [15,30] " , " (2.16,2.01294) [2,4] " , " (2,2) [2,3] " , " (232.075,243.675) [50,455] " , " (2331.88,3287.96) [1000,4000] " , " (2.00333,2.51667) [1,3] " , " (2.2,2.3) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (3.66667,3) [3,4] " , " (1.66,1.66) [1,2] " , " (1,1.66667) [1,2] "
4 , 20 , 84 , 131 , 124 , 181 , 175 , 227 , 246 , " (84.4333,105.382) [3000,16000] " , " (1192.88,1040.18) [15000,26000] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (10.7667,12.4) [220,360] " , " (1.66667,1) [1,2] " , " (2250.45,2215.93) [2000,2350] " , " (28.0833,26.385) [15,30] " , " (2.66667,3.66667) [2,4] " , " (3,3) [2,3] " , " (225.835,173.085) [50,455] " , " (3408.7,3561.64) [1000,4000] " , " (1.46,1.86667) [1,3] " , " (5.7,3.4) [0,7] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.4,8.9) [8,9] " , " (3.46667,3.13333) [3,4] " , " (2,1.5) [1,2] " , " (1.5,1.5) [1,2] "
5 , 20 , 113 , 128 , 130 , 163 , 152 , 206 , 260 , " (161.094,131.428) [3000,16000] " , " (935.577,882.743) [15000,26000] " , " (0,0) [0,1] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (0,0) [0,1] " , " (1.75,1.75) [1,2] " , " (13.3527,12.386) [220,360] " , " (1,1) [1,2] " , " (2233.08,2165.59) [2000,2350] " , " (29.067,24.4817) [15,30] " , " (3.29167,3) [2,4] " , " (3,3) [2,3] " , " (183.385,184.252) [50,455] " , " (2330.68,2376.17) [1000,4000] " , " (2.56667,1.53333) [1,3] " , " (4.6,4.88571) [0,7] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.69,8.19) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1.78571,1.5) [1,2] " , " (1.33333,1.33333) [1,2] "
6 , 20 , 84 , 132 , 133 , 160 , 180 , 227 , 246 , " (88.0467,31.1917) [3000,16000] " , " (1015.23,1143.48) [15000,26000] " , " (0,1) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (10.05,9.775) [220,360] " , " (1,1) [1,2] " , " (2272.95,2238) [2000,2350] " , " (29.4379,23.16) [15,30] " , " (2.91667,2.66667) [2,4] " , " (3,3) [2,3] " , " (186.285,203.535) [50,455] " , " (3181.24,3245.7) [1000,4000] " , " (2.91667,1.08333) [1,3] " , " (3.4,5.7) [0,7] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.46667,3.46667) [3,4] " , " (1.78571,1.5) [1,2] " , " (2,1.5) [1,2] "
7 , 57 , 99 , 117 , 118 , 149 , 156 , 192 , 260 , " (231.507,335.025) [3000,16000] " , " (755.943,890.9) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (0,0) [0,1] " , " (1.4,1.4) [1,2] " , " (12.0619,11.9833) [220,360] " , " (1.6,1.6) [1,2] " , " (2123.92,2175.03) [2000,2350] " , " (24.2615,27.5657) [15,30] " , " (3.11905,3.61905) [2,4] " , " (2.66667,2.66667) [2,3] " , " (318.243,282.3) [50,455] " , " (2065.25,2029.22) [1000,4000] " , " (2.30833,2.56667) [1,3] " , " (2.84,2.8) [0,7] " , " (1.5,1) [1,2] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (3,3.66667) [3,4] " , " (1,1) [1,2] " , " (1.71429,2) [1,2] "
8 , 11 , 112 , 125 , 129 , 143 , 147 , 193 , 260 , " (110.3,123.013) [3000,16000] " , " (858.3,910.51) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (0,0) [0,1] " , " (1.95,2) [1,2] " , " (10.26,11.66) [220,360] " , " (1.6,1.6) [1,2] " , " (2209.45,2112.23) [2000,2350] " , " (29.5783,22.3183) [15,30] " , " (2.5,2.28333) [2,4] " , " (2,2) [2,3] " , " (418.925,430.117) [50,455] " , " (2939.87,3831.35) [1000,4000] " , " (2.37667,2.55) [1,3] " , " (4.33333,4.78333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9,8.5) [8,9] " , " (3.16667,3.33333) [3,4] " , " (1.75,1.25) [1,2] " , " (2,2) [1,2] "
9 , 66 , 113 , 121 , 120 , 185 , 151 , 235 , 285 , " (110.841,108.695) [3000,16000] " , " (790.925,801.438) [15000,26000] " , " (0,0) [0,1] " , " (1.66667,1.66667) [1,2] " , " (3.55,3.35) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (11.0877,12.5743) [220,360] " , " (1,1) [1,2] " , " (2217.08,2238.71) [2000,2350] " , " (23.4433,25.8237) [15,30] " , " (2.59333,2.49333) [2,4] " , " (3,3) [2,3] " , " (269.21,258.01) [50,455] " , " (3115.17,2884.7) [1000,4000] " , " (2.63333,2.44667) [1,3] " , " (2.71,2.57) [0,7] " , " (2,2) [1,2] " , " (1.85,1.85) [1,2] " , " (8.59,8.22333) [8,9] " , " (3.71667,3.71667) [3,4] " , " (1.23143,1.66) [1,2] " , " (1.33333,2) [1,2] "
10 , 20 , 84 , 124 , 134 , 175 , 181 , 227 , 246 , " (105.382,104.702) [3000,16000] " , " (1040.18,1168.58) [15000,26000] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (12.4,10.5667) [220,360] " , " (1,1.66667) [1,2] " , " (2215.93,2242.08) [2000,2350] " , " (26.385,24.92) [15,30] " , " (3.66667,2.66667) [2,4] " , " (3,3) [2,3] " , " (173.085,225.835) [50,455] " , " (3561.64,3176.2) [1000,4000] " , " (1.86667,1.93333) [1,3] " , " (3.4,5.7) [0,7] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.13333,3.46667) [3,4] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] "
