X,mean,BNP,RMDDC,HGSADC,RTS,CDRW,GENELIT,BNPF,RMDDCF,HGSADCF,RTSF,CDRWF,GENELITF
0,0,60,60,60,60,60,60,100,100,100,100,100,100
1,,30.134074,31.934815,13.558519,33.68963,9.977037,9.792593,61.427769,61.422899,60.445514,60.870781,60.528439,60.654397
2,30,28.107407,31.807407,8.7,30.912593,3.328148,6.161481,60.968343,60.981309,59.972214,60.216904,59.958318,59.986052
3,,26.604444,31.388889,5.978519,28.802963,1.251111,3.160741,60.687481,60.738334,59.772977,59.984816,59.849779,59.848318
4,60,25.135556,29.746667,4.932593,25.637037,1.045185,1.442222,60.50816,60.615332,59.745232,59.872884,59.843951,59.820844
5,,23.668889,28.942222,4.568148,23.899259,1.018519,0.301481,60.364659,60.485595,59.740217,59.840382,59.832864,59.813121
6,90,20.941481,27.731111,4.428148,21.522963,0.935556,0.291852,60.254126,60.340725,59.740217,59.834368,59.832864,59.814149
7,,19.68963,25.95037,4.285926,20.136296,1.00963,0.17037,60.1701,60.273465,59.73121,59.823864,59.832259,59.807395
8,120,18.765185,24.266667,4.317778,18.464444,0.938519,0.17037,60.104968,60.202127,59.740217,59.805662,59.830527,59.799818
9,,16.364444,23.373333,4.197778,17.438519,0.988148,0.204444,60.044253,60.110416,59.740217,59.800335,59.828126,59.784478
10,150,14.794815,21.418519,4.093333,16.660741,0.974074,0.118519,59.971222,60.056981,59.735975,59.79799,59.813414,59.785159
11,,13.188148,19.715556,4.16963,16.134074,0.871852,0.378519,59.891412,59.978808,59.73343,59.797385,59.813414,59.779116
12,180,12.025926,17.914815,4.25037,15.558519,0.845185,0.344444,59.831634,59.916169,59.739611,59.790135,59.813414,59.767634
13,,11.260741,16.247407,4.06963,14.884444,0.854074,0,59.778749,59.847592,59.739611,59.786784,59.813414,59.779385
14,210,10.214074,14.637037,4.062963,14.083704,0.871852,0,59.756928,59.807586,59.739611,59.786784,59.813414,59.779385
15,,9.486667,13.782963,4.054074,13.677037,0.871852,0,59.742371,59.777063,59.739611,59.786784,59.813414,59.779385
16,240,8.38963,12.34963,3.978519,13.185185,0.865926,0,59.73294,59.754805,59.739345,59.786784,59.813414,59.779385
17,,7.448148,11.806667,3.99037,12.617037,0.862963,0,59.73294,59.740083,59.734908,59.786784,59.813414,59.779385
18,270,6.597037,10.965185,3.980741,12.335556,0.862963,0,59.73294,59.720188,59.739611,59.782293,59.813414,59.779385
19,,6.051852,10.564444,3.918519,11.6,0.871852,0,59.73294,59.724207,59.735575,59.781688,59.813414,59.779385
20,300,5.648148,10,3.899259,11.511111,0.885185,0,59.73294,59.699516,59.739611,59.781688,59.813414,59.779385
